Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Average_AS-path_length,Maximum_AS-path_length,Average_unique_AS-path_length,Number_of_duplicate_announcements,Number_of_duplicate_withdrawals,Number_of_implicit_withdrawals,Average_edit_distance,Maximum_edit_distance,Inter-arrival_time,Maximum_edit_distance_7,Maximum_edit_distance_8,Maximum_edit_distance_9,Maximum_edit_distance_10,Maximum_edit_distance_11,Maximum_edit_distance_12,Maximum_edit_distance_13,Maximum_edit_distance_14,Maximum_edit_distance_15,Maximum_edit_distance_16,Maximum_edit_distance_17,Maximum_AS-path_length_7,Maximum_AS-path_length_8,Maximum_AS-path_length_9,Maximum_AS-path_length_10,Maximum_AS-path_length_11,Maximum_AS-path_length_12,Maximum_AS-path_length_13,Maximum_AS-path_length_14,Maximum_AS-path_length_15,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_Exterior_Gateway_Protocol_EGP_packets,Number_of_incomplete_packets,Packet_size_bytes,Anomalous,type,category
79,6,321,26,6,12,6,3,154,3,12,1.4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69,0,10,286,-1,normal,Code_Red_I
81,6,328,17,6,12,7,7,196,2,12,1.4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,0,8,291,-1,normal,Code_Red_I
75,7,343,28,7,14,7,3,166,4,14,1.3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69,0,6,310,-1,normal,Code_Red_I
95,7,268,40,6,14,6,2,253,2,14,1.7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77,0,18,264,-1,normal,Code_Red_I
79,7,168,18,6,14,6,0,121,1,14,1.4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69,0,10,245,-1,normal,Code_Red_I
93,5,141,22,7,14,7,9,87,1,14,1.6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,0,13,237,-1,normal,Code_Red_I
59,8,84,31,7,14,7,4,56,4,14,1.1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,0,10,223,-1,normal,Code_Red_I
109,7,192,25,6,13,6,11,227,2,13,1.9,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89,0,20,233,-1,normal,Code_Red_I
118,4,253,26,6,10,6,1,284,0,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,0,25,250,-1,normal,Code_Red_I
106,6,389,39,6,10,6,20,294,20,10,1.8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84,0,22,290,-1,normal,Code_Red_I
95,5,240,80,6,12,6,11,162,3,12,1.6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,0,19,272,-1,normal,Code_Red_I
78,9,127,72,6,12,6,4,70,43,12,1.4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69,0,9,238,-1,normal,Code_Red_I
57,3,95,12,6,9,6,2,57,0,9,100,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,0,8,231,-1,normal,Code_Red_I
85,6,343,22,6,11,6,15,202,5,11,1.5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65,0,20,286,-1,normal,Code_Red_I
41,4,63,26,6,11,6,2,46,6,11,0.7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,0,10,225,-1,normal,Code_Red_I
45,5,75,24,6,12,6,0,29,1,12,0.8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,0,9,232,-1,normal,Code_Red_I
52,5,107,25,6,10,6,2,63,8,10,0.9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,0,11,242,-1,normal,Code_Red_I
46,6,86,11,6,8,5,1,29,1,8,0.8,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,0,5,230,-1,normal,Code_Red_I
78,8,379,292,6,10,6,5,361,280,10,1.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66,0,12,383,-1,normal,Code_Red_I
101,3,427,34,6,13,6,0,356,2,13,1.7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,83,0,18,302,-1,normal,Code_Red_I
74,7,168,24,6,12,6,24,65,10,12,1.3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62,0,12,247,-1,normal,Code_Red_I
68,7,126,59,6,11,6,1,82,6,11,1.2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,0,5,247,-1,normal,Code_Red_I
70,3,242,6,7,13,7,9,331,0,13,1.2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,0,7,277,-1,normal,Code_Red_I
63,6,112,140,6,14,7,3,37,82,14,1.1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,8,282,-1,normal,Code_Red_I
81,3,314,3,6,9,6,2,173,1,9,1.4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74,0,7,286,-1,normal,Code_Red_I
55,5,171,14,5,11,6,5,91,3,11,100,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,0,4,259,-1,normal,Code_Red_I
49,7,182,16,5,9,5,6,117,6,9,0.9,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,0,1,264,-1,normal,Code_Red_I
69,5,328,17,5,9,5,6,452,3,9,1.2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,0,1,289,-1,normal,Code_Red_I
56,6,198,22,5,9,5,4,136,2,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,0,5,271,-1,normal,Code_Red_I
59,5,148,15,6,11,6,5,126,0,11,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,4,244,-1,normal,Code_Red_I
56,6,163,45,6,10,6,0,98,2,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,0,4,270,-1,normal,Code_Red_I
63,2,152,15,5,12,5,3,92,0,12,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58,0,5,251,-1,normal,Code_Red_I
76,6,211,19,6,16,6,25,225,3,16,1.3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,17,259,-1,normal,Code_Red_I
78,6,214,24,6,17,6,17,203,1,17,1.4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,11,257,-1,normal,Code_Red_I
93,9,273,41,6,18,6,3,204,2,18,1.7,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78,0,15,266,-1,normal,Code_Red_I
109,7,252,17,6,12,6,38,267,0,12,1.9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92,1,16,247,-1,normal,Code_Red_I
56,7,187,25,6,10,6,4,117,8,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48,0,8,264,-1,normal,Code_Red_I
52,6,177,24,6,11,6,2,155,1,11,0.9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48,0,4,263,-1,normal,Code_Red_I
38,5,95,29,5,8,5,3,50,8,8,0.7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,5,242,-1,normal,Code_Red_I
98,4,317,79,7,12,7,5,373,2,12,1.7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94,0,4,298,-1,normal,Code_Red_I
75,6,316,19,7,11,7,11,265,0,11,1.3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73,0,2,292,-1,normal,Code_Red_I
34,5,97,10,5,11,5,1,15,3,11,0.6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,7,240,-1,normal,Code_Red_I
56,5,208,75,8,12,8,2,82,5,12,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53,0,3,288,-1,normal,Code_Red_I
71,5,172,60,8,16,8,7,156,0,16,1.2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,0,9,271,-1,normal,Code_Red_I
83,7,185,42,6,13,7,7,55,5,13,1.5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72,0,11,250,-1,normal,Code_Red_I
81,6,262,27,6,9,6,0,51,3,9,1.4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,0,11,263,-1,normal,Code_Red_I
49,4,102,12,5,8,5,1,32,2,8,0.8,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,0,7,235,-1,normal,Code_Red_I
54,6,205,34,6,14,6,1,47,10,14,100,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,18,283,-1,normal,Code_Red_I
61,9,108,22,7,16,7,4,46,3,16,1.1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,8,232,-1,normal,Code_Red_I
64,7,101,35,6,13,6,4,101,1,13,1.1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,0,9,233,-1,normal,Code_Red_I
62,6,132,15,6,12,6,5,123,6,12,1.1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,0,8,235,-1,normal,Code_Red_I
46,6,96,14,5,8,5,0,42,0,8,0.8,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,10,230,-1,normal,Code_Red_I
65,5,117,26,6,10,6,7,67,3,10,1.1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,0,15,238,-1,normal,Code_Red_I
88,6,153,81,7,15,7,4,115,4,15,1.5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,1,17,249,-1,normal,Code_Red_I
72,6,149,32,7,14,7,1,83,10,14,1.3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65,0,7,257,-1,normal,Code_Red_I
69,5,117,20,6,12,6,6,80,3,12,1.2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,61,0,8,236,-1,normal,Code_Red_I
142,6,454,18,6,15,6,19,132,6,15,2.4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,119,0,23,274,-1,normal,Code_Red_I
171,7,628,30,6,12,6,148,186,9,12,2.9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,147,0,24,284,-1,normal,Code_Red_I
65,5,176,29,6,10,6,7,69,8,10,1.1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,57,0,8,262,-1,normal,Code_Red_I
49,7,108,25,6,11,6,1,54,5,11,0.9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42,0,7,239,-1,normal,Code_Red_I
96,7,211,43,6,14,6,2,149,1,14,1.7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78,0,18,247,-1,normal,Code_Red_I
106,8,382,70,6,14,6,61,377,30,14,1.9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,16,289,-1,normal,Code_Red_I
106,6,277,26,7,14,7,0,243,3,14,1.8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89,0,17,265,-1,normal,Code_Red_I
83,7,178,80,6,12,6,3,112,27,12,1.5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70,0,13,258,-1,normal,Code_Red_I
68,8,152,43,6,10,6,11,154,14,10,1.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,0,16,252,-1,normal,Code_Red_I
76,7,142,41,6,11,6,10,54,13,11,1.3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61,0,15,238,-1,normal,Code_Red_I
85,8,141,37,6,11,6,5,108,11,11,1.5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72,0,13,235,-1,normal,Code_Red_I
62,5,99,19,6,11,6,4,93,2,11,1.1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51,0,11,226,-1,normal,Code_Red_I
73,6,230,92,6,15,6,7,95,2,15,1.3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62,0,11,291,-1,normal,Code_Red_I
44,5,71,15,5,16,5,0,19,3,16,0.8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,5,222,-1,normal,Code_Red_I
64,5,152,19,5,10,6,2,126,0,10,1.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,0,10,248,-1,normal,Code_Red_I
52,5,98,10,6,11,6,4,63,0,11,0.9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46,0,6,229,-1,normal,Code_Red_I
69,7,234,125,6,12,6,1,52,1,12,1.2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62,0,7,303,-1,normal,Code_Red_I
88,7,237,32,6,11,6,1,108,0,11,1.5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71,0,17,253,-1,normal,Code_Red_I
67,6,182,21,6,12,6,12,60,3,12,1.2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,0,15,253,-1,normal,Code_Red_I
65,6,167,62,6,14,6,8,107,20,14,1.1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53,0,12,263,-1,normal,Code_Red_I
60,6,319,89,5,9,5,8,252,12,9,1.1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51,0,9,319,-1,normal,Code_Red_I
49,7,137,50,6,11,6,1,93,11,11,0.9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,0,14,262,-1,normal,Code_Red_I
42,5,94,10,6,10,6,10,42,1,10,0.7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,5,239,-1,normal,Code_Red_I
39,8,97,52,6,11,6,0,49,13,11,0.7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,0,4,255,-1,normal,Code_Red_I
38,3,100,11,6,12,6,1,19,1,12,0.6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,1,253,-1,normal,Code_Red_I
85,4,165,14,6,10,6,15,197,0,10,1.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77,0,8,247,-1,normal,Code_Red_I
61,5,96,93,6,13,7,3,42,2,13,1.1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,54,0,7,259,-1,normal,Code_Red_I
43,5,124,6,6,12,6,0,42,0,12,0.8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,0,4,251,-1,normal,Code_Red_I
54,8,123,29,6,10,6,2,76,10,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,9,240,-1,normal,Code_Red_I
50,3,90,11,7,14,7,3,43,0,14,0.8,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,0,12,244,-1,normal,Code_Red_I
59,6,307,88,6,14,6,8,255,5,14,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58,0,1,346,-1,normal,Code_Red_I
66,7,240,73,6,12,6,4,107,2,12,1.2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65,0,1,297,-1,normal,Code_Red_I
104,8,351,29,6,11,6,71,122,1,11,1.8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,0,4,276,-1,normal,Code_Red_I
57,4,123,30,6,11,6,2,59,12,11,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49,0,8,247,-1,normal,Code_Red_I
66,6,120,83,6,12,6,5,61,18,12,1.2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,0,11,245,-1,normal,Code_Red_I
63,5,116,12,6,13,6,1,67,3,13,1.1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,0,16,235,-1,normal,Code_Red_I
58,8,185,22,6,15,6,0,108,4,15,1.1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,12,261,-1,normal,Code_Red_I
79,7,164,58,6,12,6,10,103,12,12,1.4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,71,0,8,253,-1,normal,Code_Red_I
59,7,110,31,6,11,6,6,69,3,11,1.1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,4,240,-1,normal,Code_Red_I
67,6,123,13,6,11,6,6,100,1,11,1.2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,0,14,233,-1,normal,Code_Red_I
66,6,171,47,6,13,6,25,91,17,13,1.2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,59,0,7,262,-1,normal,Code_Red_I
54,5,110,23,6,9,6,1,47,3,9,0.9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,0,7,244,-1,normal,Code_Red_I
48,4,101,18,6,14,6,2,43,1,14,0.8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42,0,6,242,-1,normal,Code_Red_I
53,6,78,25,6,11,6,0,38,14,11,0.9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46,0,7,228,-1,normal,Code_Red_I
60,5,88,14,6,13,6,8,37,1,13,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,0,7,222,-1,normal,Code_Red_I
45,6,76,14,5,12,5,0,29,1,12,0.8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39,0,6,224,-1,normal,Code_Red_I
57,5,106,21,6,12,6,2,57,4,12,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,0,3,235,-1,normal,Code_Red_I
88,6,171,63,6,9,6,5,143,15,9,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,82,0,6,257,-1,normal,Code_Red_I
138,6,956,133,6,13,6,3,89,65,13,2.4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,117,0,21,386,-1,normal,Code_Red_I
103,3,369,9,6,13,6,0,267,0,13,1.7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93,0,10,282,-1,normal,Code_Red_I
67,6,152,28,6,10,6,1,58,10,10,1.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65,0,2,244,-1,normal,Code_Red_I
82,6,134,14,6,12,6,0,75,3,12,1.4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75,0,7,225,-1,normal,Code_Red_I
61,5,136,18,6,8,6,3,69,0,8,1.1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,0,6,239,-1,normal,Code_Red_I
58,5,99,21,6,13,6,0,91,1,13,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,0,3,233,-1,normal,Code_Red_I
67,5,130,13,6,14,6,2,54,0,14,1.2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64,0,3,240,-1,normal,Code_Red_I
47,7,129,14,6,11,6,1,38,0,11,0.9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,0,9,245,-1,normal,Code_Red_I
49,5,76,10,6,9,6,2,41,0,9,0.9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,0,4,220,-1,normal,Code_Red_I
41,5,49,9,6,7,6,3,26,0,7,0.7,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,0,3,212,-1,normal,Code_Red_I
58,6,135,26,6,9,6,0,81,4,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,52,0,6,248,-1,normal,Code_Red_I
39,7,43,19,6,11,6,0,14,14,11,0.7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,0,3,215,-1,normal,Code_Red_I
46,6,62,13,6,12,6,1,55,4,12,0.8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41,0,5,215,-1,normal,Code_Red_I
45,5,52,15,7,14,7,0,27,2,14,0.8,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,0,2,219,-1,normal,Code_Red_I
78,4,132,6,6,13,6,1,73,0,13,1.3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,0,7,230,-1,normal,Code_Red_I
68,6,192,88,6,12,6,4,74,3,12,1.2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62,0,6,262,-1,normal,Code_Red_I
53,4,127,22,7,13,6,2,48,2,13,0.9,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44,0,9,258,-1,normal,Code_Red_I
57,4,159,6,7,14,7,2,130,0,14,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,51,0,6,266,-1,normal,Code_Red_I
56,5,142,104,6,16,6,6,119,3,16,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,4,288,-1,normal,Code_Red_I
62,5,193,42,6,10,6,0,88,6,10,1.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58,0,4,274,-1,normal,Code_Red_I
68,6,111,13,6,12,6,4,102,1,12,1.2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57,0,11,226,-1,normal,Code_Red_I
78,9,134,34,6,11,6,18,100,10,11,1.4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58,0,20,226,-1,normal,Code_Red_I
97,6,161,24,6,13,6,0,129,1,13,1.7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79,0,18,237,-1,normal,Code_Red_I
92,5,180,17,6,12,6,3,174,2,12,1.6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0,12,241,-1,normal,Code_Red_I
69,7,109,17,7,13,6,0,83,5,13,1.2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,0,11,225,-1,normal,Code_Red_I
56,6,115,26,6,10,6,7,53,8,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,0,4,237,-1,normal,Code_Red_I
87,7,159,24,6,13,6,2,105,4,13,1.5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73,0,14,238,-1,normal,Code_Red_I
109,8,353,51,7,10,7,8,397,4,10,1.9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,90,0,19,283,-1,normal,Code_Red_I
107,7,357,110,7,10,7,1,328,8,10,1.9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,0,14,296,-1,normal,Code_Red_I
115,7,326,72,6,12,6,13,182,3,12,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101,0,14,275,-1,normal,Code_Red_I
78,8,250,37,8,13,8,3,198,4,13,1.4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,0,2,287,-1,normal,Code_Red_I
100,7,369,99,6,13,6,2,53,1,13,1.7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88,0,12,316,-1,normal,Code_Red_I
180,8,622,82,7,14,7,15,696,1,14,3.1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,139,1,40,298,-1,normal,Code_Red_I
168,8,447,79,6,13,7,27,358,0,13,2.9,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,133,1,34,275,-1,normal,Code_Red_I
92,4,290,17,8,14,8,56,189,0,14,1.6,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77,1,14,281,-1,normal,Code_Red_I
87,8,206,54,8,13,7,4,115,5,13,1.5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,81,0,6,265,-1,normal,Code_Red_I
92,9,264,102,8,13,7,27,350,0,13,1.6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,0,6,288,-1,normal,Code_Red_I
65,7,138,70,6,8,6,6,39,0,8,1.2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56,0,9,262,-1,normal,Code_Red_I
73,7,169,18,7,13,7,0,101,0,13,1.3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,0,10,252,-1,normal,Code_Red_I
117,5,256,66,7,15,7,3,175,0,15,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105,0,12,261,-1,normal,Code_Red_I
82,5,211,30,7,13,7,1,74,10,13,1.4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,0,2,259,-1,normal,Code_Red_I
95,3,246,8,7,14,7,26,249,0,14,1.6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86,0,9,266,-1,normal,Code_Red_I
58,6,84,62,6,10,6,1,49,2,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47,0,11,243,-1,normal,Code_Red_I
81,7,251,20,7,12,7,3,122,8,12,1.4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77,0,4,272,-1,normal,Code_Red_I
108,9,452,56,7,14,7,45,462,5,14,1.9,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93,0,15,307,-1,normal,Code_Red_I
44,8,49,56,7,14,7,0,39,4,14,0.8,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,7,236,-1,normal,Code_Red_I
